Method,Kernel,C,Gamma,Average Precision,Confidence Interval
precision,linear,0.001,,0.371,0.045
precision,linear,0.01,,0.702,0.133
precision,linear,0.1,,0.716,0.154
precision,linear,1,,0.695,0.152
precision,linear,10.0,,0.695,0.152
precision,linear,100.0,,0.695,0.152
precision,linear,1000.0,,0.695,0.152
precision,rbf,0.001,0.001,0.072,0.000
precision,rbf,0.001,0.01,0.072,0.000
precision,rbf,0.001,0.1,0.072,0.000
precision,rbf,0.001,1,0.072,0.000
precision,rbf,0.001,10.0,0.072,0.000
precision,rbf,0.001,100.0,0.072,0.000
precision,rbf,0.001,1000.0,0.072,0.000
precision,rbf,0.01,0.001,0.072,0.000
precision,rbf,0.01,0.01,0.135,0.135
precision,rbf,0.01,0.1,0.072,0.000
precision,rbf,0.01,1,0.072,0.000
precision,rbf,0.01,10.0,0.072,0.000
precision,rbf,0.01,100.0,0.072,0.000
precision,rbf,0.01,1000.0,0.072,0.000
precision,rbf,0.1,0.001,0.204,0.084
precision,rbf,0.1,0.01,0.213,0.060
precision,rbf,0.1,0.1,0.072,0.000
precision,rbf,0.1,1,0.072,0.000
precision,rbf,0.1,10.0,0.072,0.000
precision,rbf,0.1,100.0,0.072,0.000
precision,rbf,0.1,1000.0,0.072,0.000
precision,rbf,1,0.001,0.516,0.035
precision,rbf,1,0.01,0.552,0.127
precision,rbf,1,0.1,0.130,0.140
precision,rbf,1,1,0.072,0.000
precision,rbf,1,10.0,0.072,0.000
precision,rbf,1,100.0,0.072,0.000
precision,rbf,1,1000.0,0.072,0.000
precision,rbf,10.0,0.001,0.781,0.199
precision,rbf,10.0,0.01,0.629,0.127
precision,rbf,10.0,0.1,0.172,0.115
precision,rbf,10.0,1,0.072,0.000
precision,rbf,10.0,10.0,0.072,0.000
precision,rbf,10.0,100.0,0.072,0.000
precision,rbf,10.0,1000.0,0.072,0.000
precision,rbf,100.0,0.001,0.719,0.231
precision,rbf,100.0,0.01,0.629,0.127
precision,rbf,100.0,0.1,0.172,0.115
precision,rbf,100.0,1,0.072,0.000
precision,rbf,100.0,10.0,0.072,0.000
precision,rbf,100.0,100.0,0.072,0.000
precision,rbf,100.0,1000.0,0.072,0.000
precision,rbf,1000.0,0.001,0.719,0.229
precision,rbf,1000.0,0.01,0.629,0.127
precision,rbf,1000.0,0.1,0.172,0.115
precision,rbf,1000.0,1,0.072,0.000
precision,rbf,1000.0,10.0,0.072,0.000
precision,rbf,1000.0,100.0,0.072,0.000
precision,rbf,1000.0,1000.0,0.072,0.000
recall,linear,0.001,,0.338,0.102) 
recall,linear,0.01,,0.515,0.190) 
recall,linear,0.1,,0.581,0.230) 
recall,linear,1,,0.575,0.228) 
recall,linear,10.0,,0.575,0.228) 
recall,linear,100.0,,0.575,0.228) 
recall,linear,1000.0,,0.575,0.228) 
recall,rbf,0.001,0.001,0.143,0.000
recall,rbf,0.001,0.01,0.143,0.000
recall,rbf,0.001,0.1,0.143,0.000
recall,rbf,0.001,1,0.143,0.000
recall,rbf,0.001,10.0,0.143,0.000
recall,rbf,0.001,100.0,0.143,0.000
recall,rbf,0.001,1000.0,0.143,0.000
recall,rbf,0.01,0.001,0.143,0.000
recall,rbf,0.01,0.01,0.148,0.021
recall,rbf,0.01,0.1,0.143,0.000
recall,rbf,0.01,1,0.143,0.000
recall,rbf,0.01,10.0,0.143,0.000
recall,rbf,0.01,100.0,0.143,0.000
recall,rbf,0.01,1000.0,0.143,0.000
recall,rbf,0.1,0.001,0.218,0.109
recall,rbf,0.1,0.01,0.228,0.084
recall,rbf,0.1,0.1,0.143,0.000
recall,rbf,0.1,1,0.143,0.000
recall,rbf,0.1,10.0,0.143,0.000
recall,rbf,0.1,100.0,0.143,0.000
recall,rbf,0.1,1000.0,0.143,0.000
recall,rbf,1,0.001,0.375,0.091
recall,rbf,1,0.01,0.435,0.117
recall,rbf,1,0.1,0.143,0.001
recall,rbf,1,1,0.143,0.000
recall,rbf,1,10.0,0.143,0.000
recall,rbf,1,100.0,0.143,0.000
recall,rbf,1,1000.0,0.143,0.000
recall,rbf,10.0,0.001,0.559,0.211
recall,rbf,10.0,0.01,0.469,0.146
recall,rbf,10.0,0.1,0.144,0.002
recall,rbf,10.0,1,0.143,0.000
recall,rbf,10.0,10.0,0.143,0.000
recall,rbf,10.0,100.0,0.143,0.000
recall,rbf,10.0,1000.0,0.143,0.000
recall,rbf,100.0,0.001,0.583,0.238
recall,rbf,100.0,0.01,0.469,0.146
recall,rbf,100.0,0.1,0.144,0.002
recall,rbf,100.0,1,0.143,0.000
recall,rbf,100.0,10.0,0.143,0.000
recall,rbf,100.0,100.0,0.143,0.000
recall,rbf,100.0,1000.0,0.143,0.000
recall,rbf,1000.0,0.001,0.584,0.242
recall,rbf,1000.0,0.01,0.469,0.146
recall,rbf,1000.0,0.1,0.144,0.002
recall,rbf,1000.0,1,0.143,0.000
recall,rbf,1000.0,10.0,0.143,0.000
recall,rbf,1000.0,100.0,0.143,0.000
recall,rbf,1000.0,1000.0,0.143,0.000